"a primeira compra du certo ..mas a segunda...mandaram a legging na estampa errada,uma legging muito feia,nao da para usar !","2015-12-08 19:22:30"
"muito boa e a entraga super rapida","2015-12-08 19:04:42"
"desta vez,demorou uns 9 dias para me despachar os produtos.mas deu tudo certo.","2015-12-08 19:07:23"
"Atendimento nota 10!","2015-12-08 19:07:19"
"Chegou rapidinho e tudo ok!!!! Parabéns!!!!","2015-12-08 19:07:36"
"comprarei sempre na loja, chegou conforme descrição no prazo indicado","2015-12-08 19:20:04"
"Atendimento nota 10","2015-12-08 19:18:25"
"Show de bola!!! Ótima compra...","2015-12-08 19:18:50"
"Ótimo e rápido ","2015-12-08 19:19:34"
"eu recomendo a todos que queiram se vestir com estilo e conforto, qualidade e um corte que cai bem para todos os gostos.","2015-12-08 19:23:27"
"Shopfato? Excelente!!","2015-12-08 19:21:31"
"Gostei muito da primeira compra que realizei na SOCD, o produto chegou em perfeitas condições e o prazo de entrega foi muito rápido","2015-12-08 19:26:26"
"Excelente","2015-12-08 19:27:02"
"Eu gostei bastante. Estou plenamente satisfeito com a rapidez da loja. Parabéns pelo respeito para com o cliente. ","2015-12-08 19:30:49"
"A entrega é eficaz. Vapt vupt!","2015-12-08 19:35:03"
"achei otimo o prazo de entrega","2015-12-08 19:31:47"
"Otimo atendimento , a entrega foi rápida chegou bem antes o prazo estipulado .
","2015-12-08 19:42:14"
"Maravilhosa a experiencia de compra.","2015-12-08 19:45:23"
"entrega dentro do prazo... productos de boa qualidade..","2015-12-08 19:50:10"
"Tudo ótimo ","2015-12-08 19:50:15"
"foi muito eficiente","2015-12-08 19:52:39"
"Gostei do atendimento, foram rápido na entrega e rápido na troca do nº 41 para o 42, visto que o 41 ficou apertado em meus pés.","2015-12-08 19:53:55"
"Foi muito bom","2015-12-08 20:01:28"
"foi a primeira compra veio certo otimo","2015-12-08 20:03:56"
"O atendimento da loja é muito bom. A atendente foi extremamente simpática!","2015-12-08 20:04:14"
"preços bom","2015-12-08 20:05:56"
"otimo","2015-12-08 20:07:24"
"Todas as vezes em que eu comprei, fiquei satisfeita.","2015-12-08 20:10:55"
"Muito bom recomendo","2015-12-08 20:12:18"
" eu achei excelente muito rapido a entrega da mercadoria, parabens","2015-12-08 20:13:30"
"Achei ótimo o serviço, muita atenção com o produto, o envio e o rastreio junto aos correios, mandando e-mails a cada atualização deles.
Tanto recomendo como sempre darei preferência nas próximas compras.
Muito obrigado e equipe Shopfato.","2015-12-08 20:16:54"
"Fui muito bem atendido e com agilidade de entrega","2015-12-08 20:18:58"
"Entrega rápida, reco","2015-12-08 20:19:28"
"OTIMO","2015-12-08 20:22:18"
"Fácil transação","2015-12-08 20:30:56"
"Boa. Só achei falho não conseguir mudar o endereço para entregar como presente. Não tem um espaço para deixar recado no site.","2015-12-08 20:35:31"
"Ótimo, dá hora esse negócio de receber e-mail td vez q a encomenda movimenta.","2015-12-08 20:32:38"
"ÓTIMA FORMA DE COMPRAR ! PRÁTICA , RÁPIDA E GARANTIDA .","2015-12-08 20:33:04"
"Demorou a chegar, pensei q seria maid rapido.. Mas dentro do prazo de entrega.","2015-12-08 20:33:08"
"otimo","2015-12-08 20:36:33"
"Foi uma experiência muito boa a compra feita, otima embalagem entrega dentro e até antes do prazo estipulado, eu os recomedo. ","2015-12-08 20:41:28"
"ótimo","2015-12-08 20:39:55"
"Entrega rapida","2015-12-08 21:01:22"
"Simples e eficiente!","2015-12-08 21:04:05"
"Entrega super rápida! Site super confiável!","2015-12-08 21:15:11"
"Gostei e o produto chegou em 7 dias. Só não recebi o código de rastreio, mas não houve demora.","2015-12-08 21:19:43"
"Excelente atendimento, entrega rápida no tempo agendado.","2015-12-08 21:16:57"
"Excelente vendedor.tudo conforme combinado. ","2015-12-08 21:20:56"
"mUITO EFICIENTE","2015-12-08 21:20:48"
"Foi tudo ótimo. O produto superou as expectativas, o site foi super profissional, rápido, e o produto chegou antes do previsto. Nota 10!","2015-12-08 21:26:17"
"Eu já fiz outras compras,e estou muito satisfeita.","2015-12-08 21:25:40"
"É muito bom comprar no Petvirtual, a entreda é feita MUITO rapido.","2015-12-08 21:26:08"
